ɣɤrtaʁ _G7rtaR
artɕhoʁ _arts\hoR1
sɤrtɕhoʁ _s7rts\hoR
artɕi _arts\i1
sɤrtɕi _s7rts\i
artɕɯwa arts\Mwa
artsɯɣdu _artsMGdu
artsɯrtso _artsMrtso1
sɤrtsɯrtso _s7rtsMrtso
sɤrtɯm s7rtMm
artɯmloʁ _artMmloR1
sɤrtɯmloʁ _s7rtMmloR
artɯrtɤβ _artMrt7B1
rtɤβ _rt7B1
sɤrtɯrtɤβ _s7rtMrt7B
artɯrtoʁ artMrtoR1
rtoʁ _rtoR1
arɯcɤrna _arMc7rna1
cɤrna _c7rna
arɯɕoʁɕoʁ _arMs\oRs\oR1
ɕoʁɕoʁ s\oRs\oR
arɯfsapaʁ _arMfsapaR1
fsapaʁ fsapaR1
arɯfsɤlko _arMfs7lko
arɯjɤrɤβ _arMj7r7B
arɯkhɯtsa _arMkhMtsa1
khɯtsa khMtsa
arɯlaba _arMlaba
arɯldʑaŋkɯ _arMldz\aNkM1
ldʑaŋkɯ ldz\aNkM
arɯlɯŋkɤr _arMlMNk7r
arɯmɯntoʁ _arMmMntoR1
mɯntoʁ mMntoR1
arɯqromkemdoʁ _arMqromkemdoR
qromkemdoʁ qromkemdoR
arɯʁmɤrsmɯɣ _arMRm7rsmMG1
ʁmɤrsmɯɣ Rm7rsmMG
arɯsrɯn _arMsrMn
arɯsɯjno _arMsMjno1
sɯjno1 sMjno1
arɯtɕheme _arMts\heme
tɕheme ts\heme1
arɯtɤjpa _arMt7jpa1
tɤjpa t7jpa
arɯtɤpɤtso _arMt7p7tso1
tɤ-pɤtso t7-p7tso
arɯtɤtɕɯ _arMt7ts\M1
tɤ-tɕɯ t7-ts\M1
arɯzdɯxthɯɣ _arMzdMxthMG
aʁdɤt _aRd7t1
aʁe _aRe1
sɤʁe _s7Re
aʁɤndɯndɤt aR7ndMnd7t1
ŋotɕuŋondɤt Nots\uNond7t
nɤndɯndɤt _n7ndMnd7t1
aʁjɤr _aRj7r1
saʁjɤr saRj7r1
sɤsaʁjɤr _s7saRj7r
ʑɣɤsaʁjɤr _z\G7saRj7r
aʁɟa _aRJ\a1
saʁɟa _saRJ\a
aʁɟɤle _aRJ\7le
ɯ-ʁlu M-Rlu
aʁmbɯm _aRmbMm
aʁzrɤwolu _aRzr7wolu
aʁzɯɣβzaŋ _aRzMGBzaN1
aʁzɯŋɤn _aRzMN7n
asaχpɯχpaʁ asaXpMXpaR1
saχpaʁ _saXpaR1
ascaʁa _ascaRa
scaʁa scaRa
ascɯsco ascMsco1
sco _sco1
asɤmɯβde as7mMBde1
askɯ _askM
asqɯsqɤr asqMsq7r1
sqɤr _sq7r
astɤko _ast7ko1
sɤstɤko _s7st7ko1
asti _asti1
sti1 _sti1
sɤstu2 _s7stu2
ɯ-stu1 M-stu1
astɯsti _astMsti
asɯɣ _asMG1
sɤsɯɣ _s7sMG1
asɯɣɲɯɣɲaʁ asMGJMGJaR1
sɯɣɲaʁ _sMGJaR1
asɯjaʁndzɯʁndzu asMjaRndzMRndzu1
sɯjaʁndzu _sMjaRndzu
asɯmɲɯmɲo _asMmJMmJo
asɯsat asMsat1
sat _sat1
asɯsu _asMsu
asɯxɕɯxɕɤt asMxs\Mxs\7t1
sɯxɕɤt _sMxs\7t1
aʂŋaʁ _as`NaR
ata _ata
ataʁki _ataRki1
taʁ3 taR3
sɤtaʁki _s7taRki
atɕaʁ _ats\aR1
sɤtɕaʁ _s7ts\aR
atɕaʁlaʁ _ats\aRlaR
sɤtɕaʁlaʁ _s7ts\aRlaR
atɕɤβ _ats\7B1
sɤtɕɤβ _s7ts\7B
atɕhɯtɕhɯ ats\hMts\hM1
tɕhɯ _ts\hM1
sɤtɕhɯ _s7ts\hM
nɤkɤtɕhɯ _n7k7ts\hM1
atɕhɯz _ats\hMz1
sɤtɕhɯz _s7ts\hMz
atɕɯmthɯt _ats\MmthMt
sɤtɕɯtɕit _s7ts\Mts\it
atɕɯtʂi _ats\Mts`i
sɤtɕɯtʂi _s7ts\Mts`i
atɕɯxtaʁ ats\MxtaR1
taʁ2 _taR2
atɕɯxtʂot _ats\Mxts`ot1
sɤtɕɯxtʂot _s7ts\Mxts`ot
atɤr _at7r
athɤri _ath7ri1
sɤthɤri _s7th7ri
athi athi1
tɕɤthi ts\7thi
athoʁmphrɤt _athoRmphr7t1
sɤthoʁmphrɤt _s7thoRmphr7t
athoχɕaβ _athoXs\aB
atsa _atsa1
sɤtsa _s7tsa
ʑɣɤsɤtsa _z\G7s7tsa
atsatsa atsatsa
atshɤxtshɯ _atsh7xtshM
